Week,Date,Matchup,Wind,Weather_Source,Spread_Mean,Spread_Median,Spread_Std,Spread_Variance,Spread_Variance_Label,Spread_25th,Spread_75th,Total_Mean,Total_Median,Total_Std,Total_10th_Floor,Total_90th_Ceiling,Home_Win_Pct,Away_Win_Pct,Prob_Land_3,Prob_Land_7
6,2025-10-12,DAL @ CAR,6,Historical Avg,3.56,5.0,13.48,181.8,Med-High,-7.0,13.0,48.06,47.0,13.263528949725266,32.0,65.0,0.397,0.601,0.076,0.085
6,2025-10-12,ARI @ IND,0,Dome,-3.74,-5.0,13.38,178.98,Medium,-13.0,7.0,48.34,48.0,13.010536078465371,32.0,65.10000000000002,0.597,0.402,0.073,0.079
6,2025-10-12,SEA @ JAX,10,Historical Avg,3.61,5.0,13.05,170.4,Medium,-6.0,12.0,45.34,45.0,12.890794101705783,29.0,61.0,0.394,0.605,0.097,0.102
6,2025-10-12,LAC @ MIA,10,Historical Avg,-1.93,-3.0,13.57,184.11,Med-High,-12.25,8.0,42.97,43.0,12.433963464939385,28.0,59.0,0.55,0.45,0.089,0.092
6,2025-10-12,NE @ NO,10,Historical Avg,8.12,8.0,13.05,170.43,Medium,-1.0,17.0,42.69,42.0,12.126704290818548,27.0,58.0,0.255,0.744,0.08,0.084
6,2025-10-12,CLE @ PIT,12,Historical Avg,-11.59,-13.0,12.63,159.54,Low,-20.0,-3.0,39.9,40.0,11.811515902199341,25.0,55.0,0.82,0.179,0.069,0.056
6,2025-10-12,TEN @ LV,0,Dome,0.29,-1.0,13.13,172.43,Medium,-9.0,10.0,36.08,35.5,11.406929211406286,22.0,51.0,0.505,0.494,0.088,0.096
6,2025-10-12,CIN @ GB,12,Historical Avg,-8.96,-10.0,12.87,165.75,Med-Low,-18.0,-1.0,49.28,49.0,12.90435377484461,33.0,66.0,0.754,0.246,0.071,0.072
6,2025-10-12,SF @ TB,8,Historical Avg,6.23,7.0,13.3,176.94,Medium,-3.0,15.25,49.43,49.5,12.517076383932519,33.0,65.0,0.312,0.688,0.073,0.091
6,2025-10-12,DET @ KC,10,Historical Avg,4.18,5.0,13.06,170.65,Medium,-6.0,13.0,46.45,46.0,13.136527675126308,30.0,63.0,0.372,0.626,0.095,0.101
