"EntryName","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"COLINOC14-4","BENGALS PK","COWBOYS PK","BILLS PK","BRONCOS PK","VIKINGS PK","PACKERS PK","CHIEFS PK","COLTS PK","ALIVE"
"COLINOC14-5","CARDINALS PK","LIONS PK","BUCS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLINOC14-6","BENGALS PK","RAVENS PK","SEAHAWKS PK","BILLS PK","VIKINGS PK","STEELERS PK","BRONCOS PK","COLTS PK","ALIVE"
"COLINOC14-7","CARDINALS PK","RAVENS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLONIE RAIDERS-1","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLONIE RAIDERS-2","BRONCOS PK","RAMS PK","BUCS PK","LIONS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLONIE RAIDERS-3","BRONCOS PK","CARDINALS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLONIE RAIDERS-4","CARDINALS PK","RAVENS PK","SEAHAWKS PK","BRONCOS PK","LIONS PK","PACKERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"COLONIE RAIDERS-5","JAGUARS PK","RAVENS PK","SEAHAWKS PK","BRONCOS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLONIE RAIDERS-6","JAGUARS PK","RAVENS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLONIE RAIDERS-7","JAGUARS PK","RAVENS PK","SEAHAWKS PK","BILLS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLOR ME UP-1","CARDINALS PK","RAMS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLOR ME UP-2","BRONCOS PK","COWBOYS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLORADO DEGENERATES-1","CARDINALS PK","COWBOYS PK","BUCS PK","TEXANS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLORADO DEGENERATES-2","BRONCOS PK","RAVENS PK","SEAHAWKS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLORADO DEGENERATES-3","COMMANDERS PK","RAVENS PK","BILLS PK","BRONCOS PK","LIONS PK","PACKERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"COLORADO DEGENERATES-4","EAGLES PK","COWBOYS PK","BILLS PK","BRONCOS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLORADO DEGENERATES-5","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLORADO DEGENERATES-6","CARDINALS PK","STEELERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLOROFMONEY-1","CARDINALS PK","RAMS PK","SEAHAWKS PK","TEXANS PK","LIONS PK","BRONCOS PK","PATRIOTS PK","COLTS PK","ALIVE"
"COLT 45s-1","BRONCOS PK","RAVENS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COLUMBIA BLUES-1","BRONCOS PK","49ERS PK","SEAHAWKS PK","LIONS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CON GAU-1","BRONCOS PK","CARDINALS PK","BILLS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CON GAU-2","BRONCOS PK","CARDINALS PK","BILLS PK","RAMS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CON GAU-3","BRONCOS PK","CARDINALS PK","BILLS PK","RAMS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CON GAU-4","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CON GAU-5","PATRIOTS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CON GAU-6","BRONCOS PK","TEXANS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CON GAU-7","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CON GAU-8","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONCESSION MAN-1","BRONCOS PK","COWBOYS PK","BILLS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONCRETEMIKEFLORIDA-1","DOLPHINS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONCRETEMIKEFLORIDA-2","BRONCOS PK","CARDINALS PK","BILLS PK","TEXANS PK","DOLPHINS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONRAD HARRIGAN-1","CARDINALS PK","COWBOYS PK","BILLS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONRAD HARRIGAN-2","BRONCOS PK","CARDINALS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONRAD HARRIGAN-3","EAGLES PK","CHARGERS PK","CHIEFS PK","BILLS PK","COLTS PK","PACKERS PK","BEARS PK","PATRIOTS PK","ALIVE"
"CONRAD HARRIGAN-4","COMMANDERS PK","CHARGERS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONRAD HARRIGAN-5","BENGALS PK","VIKINGS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONRAD HARRIGAN-6","RAMS PK","BENGALS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONRAD HARRIGAN-7","CARDINALS PK","BENGALS PK","BILLS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONRAD HARRIGAN-8","BRONCOS PK","PACKERS PK","CHARGERS PK","BILLS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONWAY-1","EAGLES PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CONWAY-2","PATRIOTS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COOKIN WITH INMAN-1","CARDINALS PK","COWBOYS PK","VIKINGS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COOL DADS CLUB-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COOL ROCKER DUDE-1","CARDINALS PK","RAVENS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","PACKERS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"COOLDATAZZ-1","BRONCOS PK","BENGALS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COOLDATAZZ-2","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","LIONS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COOLDATAZZ-3","EAGLES PK","CARDINALS PK","BUCS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COOLDATAZZ-4","BRONCOS PK","RAVENS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COOLDATAZZ-5","CARDINALS PK","RAMS PK","SEAHAWKS PK","LIONS PK","COLTS PK","PACKERS PK","BEARS PK","FALCONS PK","ELIMINATED"
"COOLDATAZZ-6","BRONCOS PK","RAVENS PK","BILLS PK","RAMS PK","COLTS PK","COMMANDERS PK","ELIMINATED","ELIMINATED","ELIMINATED"
"COOP0421-1","COMMANDERS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"COOPER LEAGUE-1","BRONCOS PK","RAVENS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"CORAFINS-1","JAGUARS PK","CARDINALS PK","BILLS PK","TEXANS PK","COLTS PK","PACKERS PK","BEARS PK","FALCONS PK","ELIMINATED"
"CORAFINS-2","COMMANDERS PK","COWBOYS PK","SEAHAWKS PK","BILLS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
